location_id,latitude,longitude,dist_road_m,dist_hospital_m,dist_school_m,dist_police_m,dist_market_m,flood_risk,land_use_class,dist_landuse_commercial_m,population_density,elevation_m,label
188,19.073956399999965,72.78633299999998,3705.104395329679,4617.5266204085,168167.45069548758,169198.38951770705,169088.65829243598,0.0,residential,3797.8925285861983,,,0
189,19.078956399999964,72.78633299999998,3698.049791821615,4911.389290924301,167616.49073713215,168647.0496970135,168537.3813283117,0.0,residential,3883.6424852193977,,,0
190,19.083956399999963,72.78633299999998,3773.10375759613,5028.941909578151,167065.54788185869,168095.7243935292,167986.11930156013,0.0,residential,4044.0494919480025,,,0
191,19.08895639999996,72.78633299999998,3925.5596557142335,4922.482465068635,166514.62230214864,167544.41375326444,167434.8723624208,0.0,residential,4270.709613359533,,,0
192,19.09395639999996,72.78633299999998,4014.836029145638,4688.178087373481,165963.71417276782,166993.1179241533,166883.64066311374,0.0,forest,4178.476587585899,,,0
193,19.09895639999996,72.78633299999998,3461.719394192673,4510.006473103878,165412.8236708083,166441.83705608948,166332.42435787618,0.0,forest,4078.835594629089,,,0
194,19.10395639999996,72.78633299999998,2908.792341492323,4192.6338594842655,164861.95097572176,165890.5713009532,165781.22360299047,0.0,forest,3967.0659635136535,,,0
195,19.10895639999996,72.78633299999998,2356.1885383524013,3842.837343731959,164311.0962693641,165339.32081264968,165230.03855682362,0.0,forest,3918.417083770081,,,0
206,19.163956399999947,72.78633299999998,71.83205451159162,4118.998626573801,158252.93629477883,159276.61919765113,159168.08730865837,0.0,forest,4122.197738933431,,,0
221,19.23895639999993,72.78633299999998,123.64493556983336,4016.8728499499534,149995.84699359655,151012.72423005887,150905.31476075793,0.0,residential,5237.595034334166,,,0
222,19.24395639999993,72.78633299999998,129.03645897982167,4396.887744717531,149445.55672851234,150461.9525407373,150354.62237964303,0.0,residential,5744.085868604593,,,0
223,19.24895639999993,72.78633299999998,12.964957452305011,4810.71371582861,148895.2907075144,149911.20140635397,149803.95114920512,0.0,residential,6258.56513963077,,,0
224,19.25395639999993,72.78633299999998,140.37610349039812,5250.362108432552,148345.0492034706,149360.47105734714,149253.30130660895,0.0,forest,6588.606428024644,,,0
225,19.258956399999928,72.78633299999998,63.7188185572143,5671.759110651076,147794.83249330267,148809.76172755987,148702.67309252522,0.0,forest,6701.080972572687,,,0
226,19.263956399999927,72.78633299999998,0.2694283074556748,6039.7221375193785,147244.64085806036,148259.07365430237,148152.06675119468,0.0,forest,6856.545547942799,,,0
227,19.26895639999993,72.78633299999998,510.2854937247948,6434.331686527333,146694.47458299607,147708.40707841353,147601.48253049175,0.0,forest,7052.157651618141,,,0
228,18.8939564,72.79133299999998,1536.241752614519,4909.286392406751,187966.75215799836,189013.2252149332,188900.89843864288,0.0,grass,2098.670491925106,,,0
229,18.8989564,72.79133299999998,1418.418254328669,4616.2071590027,187415.1443254326,188461.32606655368,188349.04767981885,0.0,forest,1863.2895841847044,,,0
230,18.9039564,72.79133299999998,1303.1733624158833,4363.069440813504,186863.54786976936,187909.43652985897,187797.20682114316,0.0,forest,1775.394463086128,,,0
231,18.9089564,72.79133299999998,1335.4181599552778,4114.497118957721,186311.96289445768,187357.5566921745,187245.3759525365,0.0,forest,1839.5253886283665,,,0
237,18.93895639999999,72.79133299999998,232.59218732207208,875.140376727332,183002.70008008,184046.48636736863,183934.6057037543,0.0,forest,2977.525454215493,,,1
238,18.94395639999999,72.79133299999998,231.66954559846135,466.2002344437146,182451.1984692348,183494.67695643823,183382.84737465763,0.0,residential,2610.193398509324,,,1
239,18.94895639999999,72.79133299999998,93.91763505190596,530.8217537902756,181899.7092120888,182942.8779815572,182831.0997945927,0.0,cemetery,2318.083646605895,,,1
240,18.95395639999999,72.79133299999998,298.7221376046513,979.3665413696511,181348.2324238209,182391.08953990348,182279.36306363036,0.0,park,2132.338010708017,,,1
248,18.99395639999998,72.79133299999998,2112.6306956876024,2782.638244222984,176936.88129197358,177977.17326150418,177865.87220144528,0.0,industrial,2269.132687659043,,,0
249,18.99895639999998,72.79133299999998,2113.326530159477,2651.20925822598,176385.52214547578,177425.48419239747,177314.2378221564,0.0,industrial,2425.8773518444405,,,0
250,19.00395639999998,72.79133299999998,2132.2516505418102,2632.0526979303763,175834.17670049786,176873.8066961713,176762.61536260683,0.0,industrial,2666.584643346071,,,0
251,19.008956399999978,72.79133299999998,2267.792396786236,2727.5353596802734,175282.84508890205,176322.14088400704,176211.00493729484,0.0,industrial,2984.740523225601,,,0
252,19.013956399999977,72.79133299999998,2502.9094078592,2916.523729137079,174731.5274442105,175770.4868684785,175659.40666215343,0.0,park,3364.2466382132056,,,0
253,19.018956399999976,72.79133299999998,2552.903133360378,3115.7184182696947,174180.22390163373,175218.84476357608,175107.82065457496,0.0,residential,3507.6423303738407,,,0
254,19.02395639999997,72.79133299999998,2444.2923189608427,3394.4440765045856,173628.93459809833,174667.21468472996,174556.24703343533,0.0,park,3636.591694868351,,,0
255,19.028956399999974,72.79133299999998,2458.612461313567,3734.9376918676417,173077.6596722699,174115.5967488286,174004.685919113,0.0,residential,3841.744455842405,,,0
256,19.033956399999973,72.79133299999998,2584.0749305027043,3962.957264308607,172526.39926458686,173563.99107424793,173453.13743351898,0.0,residential,4111.71005352962,,,0
257,19.03895639999997,72.79133299999998,2802.9969828551216,3714.003021897429,171975.15351728306,173012.39778086942,172901.60170011548,0.0,park,3863.250232145176,,,0
258,19.04395639999997,72.79133299999998,2821.509414504656,3534.90651424201,171423.92257441857,172460.8169901059,172350.07884394267,0.0,park,3643.52413228469,,,0
259,19.04895639999997,72.79133299999998,2901.553530414463,3436.607055280971,170872.70658191253,171909.24882492976,171798.5689916475,0.0,park,3498.3984887947463,,,0
260,19.05395639999997,72.79133299999998,3070.97898555753,3426.0664516648503,170321.50568756709,171357.69340989194,171247.07227150342,0.0,park,3410.4145190423046,,,0
261,19.058956399999968,72.79133299999998,3098.856155578854,3504.07688582625,169770.32004110125,170806.15087115052,170695.58881343994,0.0,park,3407.5263489946524,,,0
262,19.063956399999967,72.79133299999998,3143.159269513032,3664.988328119973,169219.1497941809,170254.62133649577,170144.1187490683,0.0,park,3352.343853187098,,,0
263,19.06895639999997,72.79133299999998,3224.0577952313047,3894.573875509385,168667.99510045283,169703.1049353789,169592.66221171108,0.0,residential,3266.6625616498645,,,0
264,19.073956399999965,72.79133299999998,3181.0839526036234,4165.938731700783,168116.8561155747,169151.60179893678,169041.21933642784,0.0,residential,3273.6709743903825,,,0
265,19.078956399999964,72.79133299999998,3172.8815526150074,4415.410979803166,167565.7329972467,168600.11206001783,168489.79026004171,0.0,residential,3372.7914703358138,,,0
266,19.083956399999963,72.79133299999998,3260.064995147066,4516.646093332862,167014.6259052482,168048.63585321343,167938.3751211718,0.0,residential,3556.3305773064485,,,0
